Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo,,,,2019-08-05 23:26:44,2019-08-05 23:26:45,0.670s,INCOMPLETE
,,,,,,,
Test Cases/Authenticate/TC-02,,,"Authenticate,Register,Authenticate With Gmail",2019-08-05 23:26:44,2019-08-05 23:26:45,0.169s,PASSED
"println(""Authenticate TC-02"")",,,,2019-08-05 23:26:45,2019-08-05 23:26:45,0.035s,PASSED
,,,,,,,
Test Cases/Authenticate/TC-01,,,"Authenticate,Register,Authenticate Require SSO",2019-08-05 23:26:45,2019-08-05 23:26:45,0.047s,PASSED
"println(""Authenticate TC-01"")",,,,2019-08-05 23:26:45,2019-08-05 23:26:45,0.001s,PASSED
,,,,,,,
Test Cases/Register/TC-02,,,"Authenticate,Register,Register With SSO",2019-08-05 23:26:45,2019-08-05 23:26:45,0.064s,PASSED
"println(""Register TC-02"")",,,,2019-08-05 23:26:45,2019-08-05 23:26:45,0.003s,PASSED
,,,,,,,
Test Cases/Register/TC-01,,,"Authenticate,Register,Register With Gmail",2019-08-05 23:26:45,2019-08-05 23:26:45,0.014s,PASSED
"println(""Register TC-01"")",,,,2019-08-05 23:26:45,2019-08-05 23:26:45,0.001s,PASSED
,,,,,,,
Test Cases/BuyItem/TC-02,,,,2019-08-05 23:26:45,2019-08-05 23:26:45,0.014s,PASSED
"println(""Buy Item Workflow TC-02"")",,,,2019-08-05 23:26:45,2019-08-05 23:26:45,0.000s,PASSED
,,,,,,,
Test Cases/BuyItem/TC-01,,,,2019-08-05 23:26:45,2019-08-05 23:26:45,0.015s,PASSED
"println(""Buy Item Workflow TC-01"")",,,,2019-08-05 23:26:45,2019-08-05 23:26:45,0.000s,PASSED
